storeID,storeName,isActive,execution_datetime
1,Steam,1,2023/06/11 07:02:03
2,GamersGate,1,2023/06/11 07:02:03
3,GreenManGaming,1,2023/06/11 07:02:03
4,Amazon,0,2023/06/11 07:02:03
5,GameStop,0,2023/06/11 07:02:03
6,Direct2Drive,0,2023/06/11 07:02:03
7,GOG,1,2023/06/11 07:02:03
8,Origin,1,2023/06/11 07:02:03
9,Get Games,0,2023/06/11 07:02:03
10,Shiny Loot,0,2023/06/11 07:02:03
11,Humble Store,1,2023/06/11 07:02:03
12,Desura,0,2023/06/11 07:02:03
13,Uplay,1,2023/06/11 07:02:03
14,IndieGameStand,0,2023/06/11 07:02:03
15,Fanatical,1,2023/06/11 07:02:03
16,Gamesrocket,0,2023/06/11 07:02:03
17,Games Republic,0,2023/06/11 07:02:03
18,SilaGames,0,2023/06/11 07:02:03
19,Playfield,0,2023/06/11 07:02:03
20,ImperialGames,0,2023/06/11 07:02:03
21,WinGameStore,1,2023/06/11 07:02:03
22,FunStockDigital,0,2023/06/11 07:02:03
23,GameBillet,1,2023/06/11 07:02:03
24,Voidu,1,2023/06/11 07:02:03
25,Epic Games Store,1,2023/06/11 07:02:03
26,Razer Game Store,0,2023/06/11 07:02:03
27,Gamesplanet,1,2023/06/11 07:02:03
28,Gamesload,1,2023/06/11 07:02:03
29,2Game,1,2023/06/11 07:02:03
30,IndieGala,1,2023/06/11 07:02:03
31,Blizzard Shop,1,2023/06/11 07:02:03
32,AllYouPlay,0,2023/06/11 07:02:03
33,DLGamer,1,2023/06/11 07:02:03
34,Noctre,1,2023/06/11 07:02:03
35,DreamGame,1,2023/06/11 07:02:03
